,mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
237,1,basshall,0.2131666666666666,0.8180000000000001,169799.1666666667,0.6301666666666668,2e-05,0.0810666666666666,-6.627833333333332,0.1348333333333333,115.0925,0.5886666666666667,80.66666666666666,2
2533,1,south african house,0.0438333333333333,0.847,311854.33333333326,0.5623333333333332,0.1303391666666666,0.0751333333333333,-7.718999999999999,0.0507333333333333,123.67633333333332,0.8343333333333334,80.0,1
2755,1,trap venezolano,0.0446,0.877,231848.0,0.777,3.46e-05,0.0863,-4.246,0.117,102.02,0.706,80.0,1
2778,0,turkish edm,0.00829,0.698,186700.0,0.7190000000000001,4.01e-06,0.326,-4.923,0.0455,120.062,0.364,80.0,0
46,0,alberta hip hop,0.33,0.885,144000.0,0.685,0.0,0.148,-6.428999999999999,0.0627,99.954,0.937,78.5,11
536,0,chinese electropop,0.00257,0.66,217088.0,0.787,0.0,0.3229999999999999,-4.592,0.032,142.018,0.199,78.5,1
37,0,afroswing,0.31845,0.71175,179995.375,0.5801875,0.000257895,0.18995,-7.0166875,0.1955625,83.250125,0.676625,77.3125,11
31,0,afro soul,0.00627,0.7659999999999999,202627.0,0.873,0.0,0.0764,-6.381,0.143,126.988,0.743,77.0,11
575,1,circuit,0.00903,0.745,189818.0,0.972,0.465,0.297,-3.506,0.0774,128.031,0.556,77.0,7
1239,1,guaracha,0.00903,0.745,189818.0,0.972,0.465,0.297,-3.506,0.0774,128.031,0.556,77.0,7
